A											
PHYWE						Count	FreqAbs	FreqRel	Fit_G		
RADIO1-E			Coluna1			75	0	0,00	0,000129539		
2						76	0	0,00	0,000177668		
RadRad1			Média	110,447		77	0	0,00	0,000241485		
                           			Erro-padrão	0,332463115		78	1	0,00	0,000325272		
			Mediana	111		79	0	0,00	0,000434187		
Interne Daten:			Moda	113		80	1	0,00	0,000574354		
1000	1000		Desvio-padrão	10,51340681		81	1	0,00	0,000752935		
0	0		Variância da amostra	110,5317227		82	1	0,00	0,000978157		
1000	100		Curtose	-0,128212884		83	1	0,00	0,001259312		
0	0		Assimetria	-0,109843957		84	1	0,00	0,00160669		
1000	100		Intervalo	65		85	0	0,00	0,002031444		
1	1		Mínimo	78		86	4	0,00	0,002545372		
0.01	1		Máximo	143		87	4	0,00	0,003160614		
0	0		Soma	110447		88	7	0,01	0,003889246		
2			Contagem	1000		89	11	0,01	0,004742784		
				0		90	8	0,01	0,005731588		
Protokoll:						91	9	0,01	0,006864209		
						92	9	0,01	0,008146664		
      N      						93	4	0,00	0,009581708		
     Imp     						94	7	0,01	0,011168115		
						95	13	0,01	0,012900027		
115						96	13	0,01	0,01476642		
122						97	18	0,02	0,016750726		desvio padrao da frequencia relativa
112						98	13	0,01	0,018830673		
95						99	15	0,02	0,020978378		
100						100	23	0,02	0,023160705		
112						101	25	0,03	0,025339933		
116						102	28	0,03	0,027474701		
105						103	25	0,03	0,02952122		
119						104	30	0,03	0,03143471		
121						105	32	0,03	0,03317099		
97						106	38	0,04	0,034688158		
119						107	28	0,03	0,035948259		
104						108	33	0,03	0,036918862		
110						109	34	0,03	0,037574445		
95						110	39	0,04	0,037897509		
112						111	40	0,04	0,037879355		
102						112	39	0,04	0,037520474		
111						113	48	0,05	0,036830522		
127						114	28	0,03	0,035827891		
102						115	31	0,03	0,034538896		
112						116	23	0,02	0,032996622		
106						117	29	0,03	0,031239518		
92						118	31	0,03	0,029309809		
116						119	27	0,03	0,027251818		
100						120	26	0,03	0,025110294		
115						121	20	0,02	0,022928832		
117						122	20	0,02	0,020748461		
102						123	18	0,02	0,018606456		
120						124	19	0,02	0,016535421		
119						125	21	0,02	0,014562659		
112						126	9	0,01	0,012709835		
108						127	13	0,01	0,010992918		
116						128	14	0,01	0,009422363		
108						129	5	0,01	0,008003511		
88						130	4	0,00	0,006737132		
104						131	4	0,00	0,005620092		
113						132	7	0,01	0,004646068		
120						133	2	0,00	0,003806287		
112						134	3	0,00	0,003090233		
130						135	2	0,00	0,002486308		
113						136	1	0,00	0,001982405		
106						137	1	0,00	0,001566403		
123						138	0	0,00	0,001226559		
108						139	0	0,00	0,000951804		
122						140	1	0,00	0,000731948		
118						141	0	0,00	0,00055781		
105						142	1	0,00	0,000421276		
89						143	1	0,00	0,000315298		
113											
123											
107											
108											
105											
107											
128											
104											
92											
106											
111											
109											
112											
109											
112											
113											
88											
113											
118											
123											
123											
128											
100											
115											
102											
116											
110											
110											
129											
128											
121											
120											
118											
102											
121											
121											
96											
105											
110											
107											
110											
114											
125											
111											
123											
109											
123											
94											
97											
92											
112											
126											
122											
104											
106											
123											
106											
100											
118											
91											
118											
102											
107											
108											
112											
133											
125											
121											
115											
111											
97											
135											
111											
92											
114											
119											
109											
113											
125											
101											
100											
96											
113											
96											
107											
108											
104											
118											
117											
116											
112											
113											
116											
102											
111											
107											
119											
110											
121											
110											
113											
119											
114											
120											
114											
109											
108											
105											
111											
93											
129											
124											
100											
113											
118											
115											
89											
101											
110											
92											
97											
99											
109											
118											
119											
119											
112											
104											
103											
121											
119											
107											
98											
100											
114											
106											
109											
111											
102											
104											
101											
113											
98											
107											
90											
111											
119											
100											
108											
106											
112											
112											
84											
118											
124											
125											
109											
103											
116											
118											
110											
103											
119											
87											
119											
120											
102											
107											
89											
119											
127											
109											
109											
110											
109											
101											
120											
128											
127											
122											
95											
104											
99											
124											
111											
115											
95											
111											
113											
109											
104											
110											
119											
108											
127											
117											
119											
116											
102											
122											
124											
108											
101											
108											
130											
106											
135											
128											
128											
116											
111											
99											
104											
101											
127											
101											
105											
115											
122											
101											
116											
111											
86											
121											
106											
110											
117											
95											
109											
109											
112											
132											
111											
117											
119											
110											
107											
130											
105											
89											
114											
91											
103											
117											
96											
121											
120											
108											
123											
105											
112											
103											
113											
114											
104											
112											
124											
125											
118											
114											
107											
114											
105											
114											
108											
109											
116											
120											
115											
116											
104											
107											
122											
102											
128											
128											
106											
108											
117											
98											
115											
117											
89											
121											
97											
97											
82											
134											
116											
102											
115											
105											
107											
111											
119											
113											
121											
122											
104											
97											
108											
100											
114											
124											
102											
80											
92											
106											
95											
89											
110											
113											
104											
104											
108											
115											
100											
120											
92											
112											
108											
120											
120											
101											
115											
115											
117											
116											
109											
106											
117											
112											
123											
121											
97											
94											
117											
112											
108											
115											
108											
122											
110											
78											
103											
104											
111											
107											
112											
125											
113											
113											
130											
108											
96											
108											
103											
103											
113											
118											
119											
131											
102											
113											
117											
101											
110											
100											
123											
104											
116											
105											
106											
118											
120											
124											
117											
109											
115											
127											
106											
110											
132											
109											
97											
118											
111											
112											
115											
109											
118											
124											
131											
107											
102											
103											
113											
113											
113											
118											
106											
105											
91											
106											
111											
109											
105											
101											
110											
119											
115											
110											
99											
112											
125											
97											
110											
88											
114											
107											
98											
107											
126											
110											
102											
113											
126											
110											
107											
125											
104											
110											
115											
92											
128											
126											
95											
116											
95											
117											
104											
111											
119											
115											
117											
113											
95											
113											
115											
109											
128											
124											
123											
105											
99											
127											
110											
123											
104											
102											
113											
95											
123											
126											
128											
118											
111											
103											
105											
88											
113											
107											
125											
112											
119											
118											
103											
102											
102											
103											
125											
103											
97											
118											
108											
112											
89											
110											
124											
134											
126											
113											
90											
111											
111											
106											
116											
94											
101											
106											
97											
111											
96											
134											
105											
111											
99											
109											
113											
101											
122											
113											
124											
103											
98											
120											
112											
87											
99											
123											
108											
109											
103											
111											
105											
118											
97											
105											
117											
107											
132											
111											
117											
110											
106											
122											
109											
118											
105											
97											
98											
89											
102											
106											
109											
110											
122											
103											
106											
101											
96											
114											
117											
101											
113											
108											
127											
110											
104											
99											
105											
87											
114											
107											
115											
97											
99											
132											
117											
91											
125											
114											
113											
104											
106											
114											
120											
122											
89											
113											
122											
111											
106											
110											
103											
106											
101											
103											
113											
105											
95											
113											
105											
95											
114											
119											
113											
110											
112											
114											
106											
100											
112											
91											
120											
111											
117											
83											
115											
102											
116											
101											
99											
121											
132											
122											
106											
112											
127											
106											
109											
103											
106											
124											
96											
114											
118											
108											
117											
103											
125											
115											
108											
125											
119											
122											
123											
114											
131											
107											
121											
86											
125											
99											
98											
107											
115											
116											
90											
101											
104											
86											
120											
143											
121											
124											
81											
107											
110											
124											
107											
98											
100											
121											
109											
116											
105											
121											
122											
112											
128											
111											
100											
113											
120											
104											
112											
113											
109											
100											
96											
105											
124											
108											
105											
122											
114											
127											
118											
113											
105											
106											
142											
105											
114											
98											
91											
118											
108											
102											
110											
116											
120											
126											
124											
100											
104											
122											
93											
110											
119											
113											
106											
125											
113											
89											
107											
108											
103											
100											
127											
106											
90											
102											
105											
121											
108											
94											
100											
117											
100											
96											
115											
111											
125											
123											
110											
133											
113											
103											
131											
123											
93											
90											
106											
121											
109											
106											
120											
112											
117											
108											
109											
90											
116											
118											
102											
92											
101											
117											
102											
97											
120											
117											
112											
104											
112											
105											
106											
111											
116											
125											
98											
119											
113											
101											
125											
111											
110											
98											
88											
102											
125											
97											
91											
105											
115											
113											
106											
113											
106											
103											
95											
114											
125											
116											
101											
106											
113											
120											
111											
106											
112											
94											
119											
127											
127											
116											
100											
112											
119											
132											
118											
109											
95											
125											
108											
118											
113											
104											
112											
111											
93											
111											
104											
104											
126											
124											
120											
112											
119											
97											
122											
117											
101											
96											
120											
109											
107											
101											
108											
123											
120											
115											
111											
96											
102											
89											
129											
87											
91											
115											
98											
100											
101											
140											
129											
105											
103											
96											
115											
88											
112											
102											
117											
127											
122											
106											
120											
110											
101											
95											
100											
118											
111											
114											
118											
110											
110											
114											
90											
115											
117											
129											
108											
112											
113											
114											
120											
119											
111											
90											
94											
117											
124											
111											
110											
94											
105											
91											
111											
102											
132											
130											
120											
116											
115											
107											
86											
119											
121											
99											
111											
102											
99											
100											
104											
137											
114											
104											
115											
128											
123											
126											
100											
120											
109											
105											
136											
112											
122											
100											
112											
124											
115											
97											
112											
109											
121											
118											
112											
113											
118											
114											
88											
98											
99											
128											
99											
117											
110											
103											
